name,description,address,health_security_policy,cancellation_policy,house_rules_policy
"Praça Maderas","Praça Maderas é um hotel 5 estrelas localizado no centro de Curitiba. Todos os quartos possuem climatização com filtro antiviral, wi-fi, pillow-top e roupa de cama de algodão egípicio 400 fios.","R. Pres. Taunay, 145","Diretrizes de distanciamento social e outras regulamentações relacionadas ao coronavírus se aplicam. Detector de fumaça. Depósito de segurança.","Até 7 dias de antecedência à entrada, a devolução do valor pago será integral. De 6 dias até a data de ínicio da entrada, haverá a restituição de 75% do valor pago.","Check-out: a partir de 10:00. Não é permitido festa. Não é permitido fumar."
"El Cordon","Nossos quartos proporcionam o mais alto padrão de qualidade e conforto, todos os detalhes são pensados para que sua experiência seja única e inesquecível. Oferecemos roupa de cama com lavagem anti alérgica, wi-fi e climatização individualizada.","R. Fidêncio Ramos, 308","CCTV fora da acomodação e em áreas comuns. Depósito de segurança. Detector de monóxido de carbono.","Não será cobrada multa para remarcações feitas em até 3 meses. Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses.","Café-da-manhã mediante reserva. Check-in: 11:00.  Capacidade para berço na acomodação."
"MK Hotel","Nossas acomodações prezam pelo acolhimento de conforto. Os quartos são climatizados, possuem escrivaninha e frigobar. Temos recepção 24 horas e sala de reuniões com internet de alta velocidade.","R. Hildebrando Cordeiro, 370","Serviço de cofre. Detector de fumaça. Diretrizes de segurança relacionadas ao coronavírus se aplicam.","Até 7 dias de antecedência à entrada, a devolução do valor pago será integral. Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses.","A idade mínima para check-in é 18. Check-out: 10:00. Não fumar."
"Costa Azul","Conforto, luxo e tudo a sua disposição. Temos bares temáticos, atividades infantis e lounge party com reserva privativa.  Desfrute de uma experiência completa no Resort Costa Azul.","R. Francisco Gurgel, 8972","Diretrizes de segurança relacionadas ao coronavírus se aplicam. CCTV fora da acomodação e em áreas comuns. Detector de monóxido de carbono.","Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses. Até 7 dias de antecedência à entrada, a devolução do valor pago será integral.","Pets: custos adicionais podem ser aplicados. Check-in: a partir de 11:00. Não há capacidade para berços."
"Jumeira Oriental","No Resort Jumeira Oriental você encontra um ambiente paradisíaco aliado a todas as comodidades planejadas especificamente para transformar suas férias em um momento inesquecível.","Kukulcan Boulevard, 77500","Diretrizes de segurança relacionadas ao coronavírus se aplicam. CCTV fora da acomodação e em áreas comuns. Detector de monóxido de carbono.","Não será cobrada multa para remarcações feitas em até 3 meses. Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses.","Café-da-manhã mediante reserva. Check-in: 11:00.  Capacidade para berço na acomodação."
"Kan Hoa Resort","Com passeios nos famosos pontos turísticos locais, experiência gastronômica com a culinária típica, praias calmas e muito conforto, o Kan Hoa Resort é seu destino.","Naradhiwas Rajanagarindra, 36","CCTV fora da acomodação e em áreas comuns. Depósito de segurança. Detector de monóxido de carbono.","Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses. Até 7 dias de antecedência à entrada, a devolução do valor pago será integral.","Pets: custos adicionais podem ser aplicados. Check-in: a partir de 11:00. Não há capacidade para berços."
"Urbanic House","Com localização privilegiada próximo ao centro da cidade e pontos de ônibus, oferecemos a praticidade e tranquilidade que você procura, sem deixar de lado o conforto e a descontração. Temos cozinha e lounge compartilhados, reserva para café da manhã, wi-fi e área de reuniões","R. Luciana Abreu, 332","Diretrizes de distanciamento social e outras regulamentações relacionadas ao coronavírus se aplicam. Detector de fumaça. Depósito de segurança.","Até 7 dias de antecedência à entrada, a devolução do valor pago será integral. De 6 dias até a data de ínicio da entrada, haverá a restituição de 75% do valor pago.","Check-in: a partir de 11:00. A idade mínima para check-in é 18. Não fumar."
"Gray Lodge","Muito conforto nas acomodações que se adequam a todos os orçamentos. Oferecemos wi-fi, quartos com ar-condicionado ou ventilador, área social e cozinha compartilhada.","St. Hoteleiro Sul Q. 3","CCTV fora da acomodação e em áreas comuns. Depósito de segurança. Detector de monóxido de carbono.","Não será cobrada multa para remarcações feitas em até 3 meses. Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses.","Serviço de despertador. Check-in: a partir de 11:00. Há capacidade para berços."
"Allen Hostel","Aqui temos o conforto de um quarto de hóspedes aliado a atmosfera irreverente ao estilo backpacker. Todos os quartos tem ar-condicionado, wi-fi, temos bar junto com o lounge e cozinha compartilhada, além de nosso próprio bike-rental para facilitar a locomoção ","R. Mariz e Barros, 16","Serviço de cofre. Detector de fumaça. Diretrizes de segurança relacionadas ao coronavírus se aplicam.","Até 7 dias de antecedência à entrada, a devolução do valor pago será integral. Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses.","Check-out: a partir de 10:00. Não é permitido festa. Não é permitido fumar."
"Alto da Colina","Charmosa e acolhedora, a pousada Alto da Colina vai encantar tanto com sua arquitetura tradicional quanto com as paisagens e clima da serra gaúcha, bem como o café colonial e a lareira sempre acesa durante o inverno. Temos erva-mate a disposição, ar-condicionado quente e frio, wi-fi e televisão nos ","Av. das Hortênsias, 1242","Diretrizes de segurança relacionadas ao coronavírus se aplicam. CCTV fora da acomodação e em áreas comuns. Detector de monóxido de carbono.","Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses. Até 7 dias de antecedência à entrada, a devolução do valor pago será integral.","Check-in: a partir de 11:00. A idade mínima para check-in é 18. Não fumar."
"El Porvenir","Um verdadeiro paraíso em meio às montanhas, a Pousada El Porvenir é um recanto de tranquilidade. Oferecemos café da manhã e almoço, temos wi-fi, deque com cadeiras estofadas para apreciar o pôr-do-sol e uma carta de vinhos selecionados especialmente para nossos hóspedes","Ciudadela, 1356","Diretrizes de distanciamento social e outras regulamentações relacionadas ao coronavírus se aplicam. Detector de fumaça. Depósito de segurança.","Até 7 dias de antecedência à entrada, a devolução do valor pago será integral. Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses.","Check-out: a partir de 10:00. Não é permitido festa. Não é permitido fumar."
"Sol da Ilha","Rodeada por natureza ímpar e belos morros, convivemos em harmonia com a natureza e com a beleza do litoral catarinense. A poucos minutos da Praia da Ferrugem, temos aluguel de prancha e aula de surf, momento de yoga e meditação ao qual todos os hóspedes são bem-vindos. Também oferecemos wi-fi, cozin","R. Vista do Sol, 60","CCTV fora da acomodação e em áreas comuns. Depósito de segurança. Detector de monóxido de carbono.","Não será cobrada multa para remarcações feitas em até 3 meses. Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses.","Pets: custos adicionais podem ser aplicados. Check-in: a partir de 11:00. Não há capacidade para berços."
"Begônia Inn","Hotel aconchegante e bem situado no coração da cidade. Sua escolha para todas as ocasiões. Climatização e ambientes planejados para seu bem-estar.","Av. Iguaçu, 1835","Serviço de cofre. Detector de fumaça. Diretrizes de segurança relacionadas ao coronavírus se aplicam.","Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses. Até 7 dias de antecedência à entrada, a devolução do valor pago será integral.","Pets: custos adicionais podem ser aplicados. Check-in: a partir de 11:00. Não há capacidade para berços."
"Du Pompadour","Excelência em hospedagem e tradição. Conforto, bom atendimento, ambiente e tudo para você se sentir em casa.","R. Topázio, 993","Diretrizes de segurança relacionadas ao coronavírus se aplicam. CCTV fora da acomodação e em áreas comuns. Detector de monóxido de carbono.","Até 7 dias de antecedência à entrada, a devolução do valor pago será integral. De 6 dias até a data de ínicio da entrada, haverá a restituição de 75% do valor pago.","Serviço de despertador. Check-in: a partir de 11:00. Há capacidade para berços."
"Abapurus Hotel","Oferecemos o melhor atendimento, estrutura e localização. Reserve agora e garanta a melhor estadia para sua viagem.","R. Augusta, 1314","CCTV fora da acomodação e em áreas comuns. Depósito de segurança. Detector de monóxido de carbono.","Não será cobrada multa para remarcações feitas em até 3 meses. Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses.","Check-out: a partir de 10:00. Não é permitido festa. Não é permitido fumar."
Vinhedo,"Referencia em tradição e bom atendimento. A Pousada do Vinhedo é o destino perfeito para desfrutar de descanso e tranquilidade aliado a boa gastronomia e muito conforto.","R. Antônio Accorsi, 412","Serviço de cofre. Detector de fumaça. Diretrizes de segurança relacionadas ao coronavírus se aplicam.","Até 7 dias de antecedência à entrada, a devolução do valor pago será integral. Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses.","Check-out: a partir de 10:00. Não é permitido festa. Não é permitido fumar."
"Siargao Resort","Resort paradisíaco com toda a estrutura para proporcionar a estadia dos seus sonhos. Natureza, praia, piscina e all inclusive, veja a disponibilidade e reserve agora.","Rtno. del Rey, 36","Diretrizes de distanciamento social e outras regulamentações relacionadas ao coronavírus se aplicam. Detector de fumaça. Depósito de segurança.","Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses. Até 7 dias de antecedência à entrada, a devolução do valor pago será integral.","Café-da-manhã mediante reserva. Check-in: 11:00.  Capacidade para berço na acomodação."
"Resort Azulis","Hospede-se para desfrutar da natureza inigualável, encante-se com o azul cristalino do mar, aproveite tudo que o resort Azulis tem para oferecer.","Nara-Taling-Ngam Rd","CCTV fora da acomodação e em áreas comuns. Depósito de segurança. Detector de monóxido de carbono.","Não será cobrada multa para remarcações feitas em até 3 meses. Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses.","Pets: custos adicionais podem ser aplicados. Check-in: a partir de 11:00. Não há capacidade para berços."
"Baleia Resort","Venha desfrutar de momentos inesquecíveis no Baleia Resort. Temos uma incrível estrutura projetada para aliar natureza, lazer e sustentabilidade.","R. Cabo de Bacopari, 2102","Diretrizes de segurança relacionadas ao coronavírus se aplicam. CCTV fora da acomodação e em áreas comuns. Detector de monóxido de carbono.","Até 7 dias de antecedência à entrada, a devolução do valor pago será integral. De 6 dias até a data de ínicio da entrada, haverá a restituição de 75% do valor pago.","Check-in: a partir de 11:00. A idade mínima para check-in é 18. Não fumar."
"Hinata Inn","Hospede-se no Hinata Inn e se surpreenda com o atendimento, a estrutura e o mais moderno conceito em hotelaria.","R. Paim, 163","Diretrizes de segurança relacionadas ao coronavírus se aplicam. CCTV fora da acomodação e em áreas comuns. Detector de monóxido de carbono.","Não será cobrada multa para remarcações feitas em até 3 meses. Créditos resultantes de cancelamento deverão ser utilizados em até 12 meses.","Check-out: a partir de 10:00. Não é permitido festa. Não é permitido fumar."
